company | abandon | system | institute | give up | facility | company | abandon | system | company | abandon | plan
he | minimize | threat | we | ensure | security | he | minimize | threat | we | minimize | inconvenience
it | monitor | operations | i | supervise | business | it | monitor | operations | it | monitor | network
she | mount | campaign | he | launch | parade | she | mount | campaign | she | mount | exhibitions
he | name | successor | i | appoint | chairman | he | name | successor | he | name | districts
we | name | professor | he | designate | scholar | we | name | professor | we | name | names
we | need | managers | you | want | leader | we | need | managers | we | need | cables
i | need | partnership | you | envision | cooperation | i | need | partnership | i | need | plays
he | need | break | she | demand | ease | he | need | break | he | need | resources
we | need | healthy | i | keep | physique | we | need | healthy | we | need | rebound
he | need | determination | i | make up | mind | he | need | determination | he | need | support
you | need | police | we | find | cop | you | need | police | you | need | guidance
it | negotiate | terms | they | transact | contract | it | negotiate | terms | it | negotiate | cease-fire
he | negotiate | incentives | she | discussed | reward | he | negotiate | incentives | he | negotiate | settlement
he | obey | law | i | keep | rule | he | obey | law | he | obey | order
they | obtain | arms | people | get | gun | they | obtain | arms | they | obtain | rates
i | obtain | idea | we | propose | thought | i | obtain | idea | i | obtain | implementation
he | offer | clothing | it | provide | costume | he | offer | clothing | he | offer | system
we | offer | treatment | you | cure | patient | we | offer | treatment | we | offer | details
he | offer | benefit | company | supply | welfare | he | offer | benefit | he | offer | chance
he | open | restaurant | she | run | hotel | he | open | restaurant | he | open | office
it | open | exhibition | we | start | show | it | open | exhibition | it | open | doors
it | operate | plane | we | drive | tank | it | operate | plane | it | operate | apartment
he | oppose | agreement | we | disagree | contract | he | oppose | agreement | he | oppose | charter
they | order | owner | i | command | soldier | they | order | owner | they | order | food
he | organize | financing | she | provide | fund | he | organize | financing | he | organize | union
she | organize | meetings | we | establish | conference | she | organize | meetings | she | organize | providers
it | oust | board | i | dismiss | director | it | oust | board | it | oust | dictator
she | overcome | errors | we | defeat | mistake | she | overcome | errors | she | overcome | inconsistency
they | overcome | record | you | break | achievement | they | overcome | record | they | overcome | troubles
it | overcome | problems | i | solve | question | it | overcome | problems | it | overcome | deficit
it | overcome | shyness | that | conquer | worries | it | overcome | shyness | it | overcome | fees
he | oversee | cutback | i | supervise | saving | he | oversee | cutback | he | oversee | expansion
she | oversee | company | he | control | operations | she | oversee | company | she | oversee | rescue
it | overturn | rule | it | repudiate | policy | it | overturn | rule | it | overturn | car
he | paint | sailboats | we | design | sailboat | he | paint | sailboats | he | paint | front
he | participate in | conspiracy | i | design | cabal | he | participate in | conspiracy | he | participate in | project
they | participate in | summit | he | attend | meeting | they | participate in | summit | they | participate in | organization
i | participate in | dance | you | join | show | i | participate in | dance | i | participate in | review
it | pass | sensor | that | feedback | transducer | it | pass | sensor | it | pass | law
we | pass | exams | i | succeed in | test | we | pass | exams | we | pass | legislation
they | pass | plan | you | endorse | strategy | they | pass | plan | they | pass | round
i | pay | attention | we | improve | wakefulness | i | pay | attention | i | pay | rent
i | pay | penance | we | repeat | mistake | i | pay | penance | i | pay | ticket
they | pay | commissions | you | offer | salary | they | pay | commissions | they | pay | fine
they | pay | bribe | we | take | bribery | they | pay | bribe | they | pay | room
he | pay | debt | i | repay | loan | he | pay | debt | he | pay | dancers
you | pay | tuition | i | spend | tuition | you | pay | tuition | you | pay | debt
they | perform | chores | we | do | housework | they | perform | chores | they | perform | music
he | perform | role | i | play | drama | he | perform | role | he | perform | music
she | perform | arrangements | i | obey | orders | she | perform | arrangements | she | perform | songs
he | perform | miracles | you | create | wonder | he | perform | miracles | he | perform | act
we | permit | lawsuit | judges | allow | litigation | we | permit | lawsuit | we | permit | vote
he | persuade | homeowners | i | lobby | landlord | he | persuade | homeowners | he | persuade | republicans
he | persuade | courts | you | plead with | judge | he | persuade | courts | he | persuade | army
i | pick | team | we | choose | organization | i | pick | team | i | pick | stylus
i | pick | beans | you | grow | apple | i | pick | beans | i | pick | papers
we | pick | hotel | they | live in | rummery | we | pick | hotel | we | pick | child
you | pick | battles | i | decide to | fight | you | pick | battles | you | pick | apples
they | pick | share | we | choose | participation | they | pick | share | they | pick | children
we | pick | slack | i | decide | relaxation | we | pick | slack | we | pick | diploma
i | pick | garbage | she | recycle | rubbish | i | pick | garbage | i | pick | wife
i | pick | rifle | you | raise | pistol | i | pick | rifle | i | pick | losers
he | pick | pocketbook | she | buy | wallet | he | pick | pocketbook | he | pick | context
she | pick | fruit | we | harvest | food | she | pick | fruit | she | pick | game
we | pick | votes | i | acknowledge | election | we | pick | votes | we | pick | ball
i | pitch | sponsorship | we | promote | support | i | pitch | sponsorship | i | pitch | inning
he | place | workers | she | settle | staff | he | place | workers | he | place | call
they | plan | bombings | we | implement | cannonade | they | plan | bombings | they | plan | wedding
she | plant | crops | they | cultivate | land | she | plant | crops | she | plant | hedge
he | play | impact | i | work | role | he | play | impact | he | play | sports
he | play | judge | she | act | police | he | play | judge | he | play | tennis
i | play | trombone | you | listen | piano | i | play | trombone | i | play | game
i | play | defense | we | organize | attack | i | play | defense | i | play | years
he | play | guard | i | try | forwards | he | play | guard | he | play | lottery
they | play | suggestion | you | make | proposal | they | play | suggestion | they | play | defense
he | play | night | she | squat | night | he | play | night | he | play | sunday
he | play | trick | they | carry out | ruse | he | play | trick | he | play | coward
i | play | football | we | kick | soccer | i | play | football | i | play | game
he | play | series | she | act | opera | he | play | series | he | play | streetcar
i | play | agency | you | answer for | dealers | i | play | agency | i | play | field
he | please | conservatives | she | delight | moderates | he | please | conservatives | he | please | everyone
we | plow | cash | you | squander | property | we | plow | cash | we | plow | land
i | pop | aspirin | she | take | medicine | i | pop | aspirin | i | pop | corks
he | portray | sinners | we | describe | criminal | he | portray | sinners | he | portray | tax
he | portray | dynamism | she | abound with | vitality | he | portray | dynamism | he | portray | problems
it | post | earnings | that | releases | revenue | it | post | earnings | it | post | decline
he | postpone | meeting | we | delay | conference | he | postpone | meeting | he | postpone | honeymoon
we | pour | readings | i | read | backwards | we | pour | readings | we | pour | snack
he | practice | democracy | we | implement | dictatorship | he | practice | democracy | he | practice | law
he | predict | data | she | calculate | record | he | predict | data | he | predict | future
they | predict | victory | we | prophesy | win | they | predict | victory | they | predict | scope
they | predict | course | you | estimate | schedule | they | predict | course | they | predict | invasion
he | predict | date | we | calculate | time | he | predict | date | he | predict | likelihood
they | prefer | talk | she | enjoy | communication | they | prefer | talk | they | prefer | disco
it | prepare | forces | they | convene | army | it | prepare | forces | it | prepare | proposal
he | prepare | plan | you | make | project | he | prepare | plan | he | prepare | specimens
it | prepare | specimens | i | make | models | it | prepare | specimens | it | prepare | positions
it | prepare | meal | she | cook | dinner | it | prepare | meal | it | prepare | ingredients
she | prepare | cookies | i | put | snacks | she | prepare | cookies | she | prepare | evidence
he | prepare | returns | she | repay | benefactor | he | prepare | returns | he | prepare | plan
he | prepare | proposal | you | organize | suggestion | he | prepare | proposal | he | prepare | meals
she | present | issues | he | asked | questions | she | present | issues | she | present | image
i | present | viewpoint | we | propose | idea | i | present | viewpoint | i | present | information
we | present | ourselves | you | show | yourself | we | present | ourselves | we | present | picture
they | present | evidence | we | collect | proof | they | present | evidence | they | present | portrait
they | present | proposals | you | make | advice | they | present | proposals | they | present | testimony
he | present | vision | she | propose | expectation | he | present | vision | he | present | himself
it | preserve | record | we | keep | achievement | it | preserve | record | it | preserve | character
he | preserve | intrigue | i | hide | conspiracy | he | preserve | intrigue | he | preserve | remnants
we | preserve | tradition | i | stick to | custom | we | preserve | tradition | we | preserve | record
they | preserve | character | we | insist on | intention | they | preserve | character | they | preserve | anonymity
he | preserve | interests | she | defend | hobby | he | preserve | interests | he | preserve | integrity
we | preserve | building | we | protect | architecture | we | preserve | building | we | preserve | bulk
they | preserve | chance | we | reserve | opportunity | they | preserve | chance | they | preserve | quality
we | preserve | relationship | you | maintain | affection | we | preserve | relationship | we | preserve | areas
it | press | guards | i | call | police | it | press | guards | it | press | charges
he | pressure | customers | i | repress | client | he | pressure | customers | he | pressure | engine
they | prevent | deal | we | stop | trading | they | prevent | deal | they | prevent | problems
she | prevent | erosion | we | avoid | corrosion | she | prevent | erosion | she | prevent | blackout
we | prevent | noise | i | isolated | wrangle | we | prevent | noise | we | prevent | loss
it | prevent | bloodshed | that | stop | bleeding | it | prevent | bloodshed | it | prevent | aids
he | prevent | transfer | she | control | shift | he | prevent | transfer | he | prevent | landfill
it | prevent | crimes | that | foretell | evil | it | prevent | crimes | it | prevent | transfer
he | prevent | public | she | stop | crowd | he | prevent | public | he | prevent | atmosphere
he | prevent | violence | people | eradicate | accident | he | prevent | violence | he | prevent | fraud
it | process | mortgages | i | apply for | loan | it | process | mortgages | it | process | card
it | process | claims | you | handle | compensation | it | process | claims | it | process | charge
he | proclaim | guilt | she | declare | jail | he | proclaim | guilt | he | proclaim | emergency
it | produce | car | we | assemble | vehicles | it | produce | car | it | produce | explosion
it | produce | immunity | this | increases | resistance | it | produce | immunity | it | produce | cards
he | produce | tape | you | make | glue | he | produce | tape | he | produce | readable
we | produce | success | you | make | triumph | we | produce | success | we | produce | particle
it | produce | planes | we | design | aircraft | it | produce | planes | it | produce | articles
i | produce | music | she | compose | song | i | produce | music | i | produce | notes
they | produce | game | i | manufacture | application | they | produce | game | they | produce | documentary
he | promote | company | i | peddle | business | he | promote | company | he | promote | dramas
he | promote | notion | we | advocate | idea | he | promote | notion | he | promote | export
we | promote | classes | people | encourage | education | we | promote | classes | we | promote | image
we | promote | peace | you | keep | struggle | we | promote | peace | we | promote | opportunity
he | promote | technology | we | advance | technique | he | promote | technology | he | promote | policy
i | promote | wellness | they | boost | health | i | promote | wellness | i | promote | benefit
he | propose | regulations | she | make | provision | he | propose | regulations | he | propose | legislation
we | protect | positions | i | retain | job | we | protect | positions | we | protect | people
i | protect | store | we | defend | supermarket | i | protect | store | i | protect | ball
he | protest | summit | i | oppose | meeting | he | protest | summit | he | protest | raid
people | protest | vote | we | resist | election | people | protest | vote | people | protest | layoffs
they | prove | guilt | he | confirm | culpability | they | prove | guilt | they | prove | points
it | provide | medicare | that | offer | insurance | it | provide | medicare | it | provide | prognosis
he | provide | promise | she | swear | oath | he | provide | promise | he | provide | details
it | provide | water | there | serve | drink | it | provide | water | it | provide | voters
he | provide | precedent | you | set | example | he | provide | precedent | he | provide | estimates
i | provide | warnings | we | prompt | danger | i | provide | warnings | i | provide | licenses
he | provide | energy | it | supply | power | he | provide | energy | he | provide | coverage
he | pull | trigger | i | start | firing | he | pull | trigger | he | pull | performance
they | punch | writers | we | hit | editor | they | punch | writers | they | punch | hole
he | punish | criminals | you | execute | prisoner | he | punish | criminals | he | punish | cheat
he | purchase | corporation | we | acquire | enterprises | he | purchase | corporation | he | purchase | ticket
she | pursue | interests | i | seek | benefit | she | pursue | interests | she | pursue | rumors
she | pursue | dream | i | realize | desire | she | pursue | dream | she | pursue | legislation
he | push | authorities | he | promotes | situation | he | push | authorities | he | push | truck
it | push | price | that | drive | economy | it | push | price | it | push | bills
they | push | changes | we | promote | reform | they | push | changes | they | push | advantage
i | put | restrictions | he | impose | restraint | i | put | restrictions | i | put | binoculars
he | quell | uproar | i | clam | mentality | he | quell | uproar | he | quell | rioting
i | question | strategy | you | interrogate | project | i | question | strategy | i | question | ability
he | question | motives | you | doubt | incentive | he | question | motives | he | question | limits
she | quit | job | i | leave | work | she | quit | job | she | quit | effort
he | quit | game | we | abandon | competition | he | quit | game | he | quit | job
we | raise | money | they | prepare | funds | we | raise | money | we | raise | standard
they | raise | objections | we | oppose | proposal | they | raise | objections | they | raise | outlays
it | raise | quality | that | improve | performance | it | raise | quality | it | raise | price
